trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-08-17,09:30,8695257039,10118791556,18814048595,2026-08-14,19812496142,-998447547,-5.039484,tencent,2026-08-17T09:30:00+08:00
2026-08-17,09:40,190381947727,211637447837,402019395564,2026-08-14,383240980260,18778415304,4.899898,tencent,2026-08-17T09:40:00+08:00
2026-08-17,09:50,290438411892,320018605210,610457017102,2026-08-14,582259610439,28197406663,4.842755,tencent,2026-08-17T09:50:00+08:00
2026-08-17,10:00,371736151205,412884797072,784620948277,2026-08-14,732292669286,52328278991,7.145815,tencent,2026-08-17T10:00:00+08:00
2026-08-17,10:10,430357192429,480949568700,911306761129,2026-08-14,842779840449,68526920680,8.131058,tencent,2026-08-17T10:10:00+08:00
2026-08-17,10:20,480670136963,532768605036,1013438741999,2026-08-14,935951895808,77486846191,8.278935,tencent,2026-08-17T10:20:00+08:00
2026-08-17,10:30,519980819907,574446995135,1094427815042,2026-08-14,1026921660045,67506154997,6.573642,tencent,2026-08-17T10:30:00+08:00
2026-08-17,10:40,553870751414,613286734048,1167157485462,2026-08-14,1108722816351,58434669111,5.270449,tencent,2026-08-17T10:40:00+08:00
2026-08-17,10:50,589440805786,655041563299,1244482369085,2026-08-14,1170741191984,73741177101,6.298675,tencent,2026-08-17T10:50:00+08:00
2026-08-17,11:00,624007805465,692255338409,1316263143874,2026-08-14,1232795763627,83467380247,6.770576,tencent,2026-08-17T11:00:00+08:00
2026-08-17,11:10,658316668377,730249426740,1388566095117,2026-08-14,1292150108189,96415986928,7.461671,tencent,2026-08-17T11:10:00+08:00
2026-08-17,11:20,685770361933,759275833900,1445046195833,2026-08-14,1344174991296,100871204537,7.504321,tencent,2026-08-17T11:20:00+08:00
2026-08-17,11:30,710477825254,786623442442,1497101267696,2026-08-14,1387352418353,109748849343,7.910668,tencent,2026-08-17T11:30:00+08:00
2026-08-17,13:00,710477825254,786623442442,1497101267696,2026-08-14,1387352418353,109748849343,7.910668,tencent,2026-08-17T13:00:00+08:00
2026-08-17,13:10,750071645309,841422517480,1591494162789,2026-08-14,1453221742720,138272420069,9.514888,tencent,2026-08-17T13:10:00+08:00
2026-08-17,13:20,782289020149,883636751432,1665925771581,2026-08-14,1505875902252,160049869329,10.628357,tencent,2026-08-17T13:20:00+08:00
2026-08-17,13:30,811710640491,918374325479,1730084965970,2026-08-14,1555049997959,175034968011,11.255906,tencent,2026-08-17T13:30:00+08:00
2026-08-17,13:40,837730798218,950578206683,1788309004901,2026-08-14,1613404332883,174904672018,10.840722,tencent,2026-08-17T13:40:00+08:00
2026-08-17,13:50,864114786404,982881488207,1846996274611,2026-08-14,1665092890583,181903384028,10.924519,tencent,2026-08-17T13:50:00+08:00
2026-08-17,14:00,890326930594,1013841341844,1904168272438,2026-08-14,1721869797932,182298474506,10.587239,tencent,2026-08-17T14:00:00+08:00
2026-08-17,14:10,918153009218,1047393216499,1965546225717,2026-08-14,1778335503755,187210721962,10.5273,tencent,2026-08-17T14:10:00+08:00
2026-08-17,14:20,947425899704,1079918598717,2027344498421,2026-08-14,1834972057392,192372441029,10.483671,tencent,2026-08-17T14:20:00+08:00
2026-08-17,14:30,975897255135,1113792139035,2089689394170,2026-08-14,1889723965146,199965429024,10.581727,tencent,2026-08-17T14:30:00+08:00
2026-08-17,14:40,1008424742468,1151755260729,2160180003197,2026-08-14,1951014525075,209165478122,10.720857,tencent,2026-08-17T14:40:00+08:00
2026-08-17,14:50,1051710616000,1201631709737,2253342325737,2026-08-14,2025588969573,227753356164,11.243809,tencent,2026-08-17T14:50:00+08:00
2026-08-17,15:00,1112818620627,1274638568580,2387457189207,2026-08-14,2142843225331,244613963876,11.415392,tencent,2026-08-17T15:00:00+08:00
