trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-09-15,09:30,5613610187,6910994063,12524604250,2026-09-14,16454524205,-3929919955,-23.883522,tencent,2026-09-15T09:30:00+08:00
2026-09-15,09:40,127595987889,146042811166,273638799055,2026-09-14,316086774726,-42447975671,-13.429216,tencent,2026-09-15T09:40:00+08:00
2026-09-15,09:50,197174080145,225004318643,422178398788,2026-09-14,478933706478,-56755307690,-11.850347,tencent,2026-09-15T09:50:00+08:00
2026-09-15,10:00,253463436297,285768611727,539232048024,2026-09-14,605519406831,-66287358807,-10.94719,tencent,2026-09-15T10:00:00+08:00
2026-09-15,10:10,302571520628,338003385378,640574906006,2026-09-14,709169591000,-68594684994,-9.672536,tencent,2026-09-15T10:10:00+08:00
2026-09-15,10:20,347514935600,383882844161,731397779761,2026-09-14,782099157406,-50701377645,-6.48273,tencent,2026-09-15T10:20:00+08:00
2026-09-15,10:30,385059897779,423748698934,808808596713,2026-09-14,853014566773,-44205970060,-5.182323,tencent,2026-09-15T10:30:00+08:00
2026-09-15,10:40,414511424357,454457481570,868968905927,2026-09-14,910444949167,-41476043240,-4.555579,tencent,2026-09-15T10:40:00+08:00
2026-09-15,10:50,438508154271,479109308557,917617462828,2026-09-14,961060531416,-43443068588,-4.520326,tencent,2026-09-15T10:50:00+08:00
2026-09-15,11:00,457266517511,498976863952,956243381463,2026-09-14,1004701999986,-48458618523,-4.823183,tencent,2026-09-15T11:00:00+08:00
2026-09-15,11:10,475057804382,518808889944,993866694326,2026-09-14,1040092425236,-46225730910,-4.444387,tencent,2026-09-15T11:10:00+08:00
2026-09-15,11:20,489659906656,534710374909,1024370281565,2026-09-14,1072393032671,-48022751106,-4.478092,tencent,2026-09-15T11:20:00+08:00
2026-09-15,11:30,505081179925,551757664074,1056838843999,2026-09-14,1104310841518,-47471997519,-4.298789,tencent,2026-09-15T11:30:00+08:00
2026-09-15,13:00,505081179925,551757664074,1056838843999,2026-09-14,1104310841518,-47471997519,-4.298789,tencent,2026-09-15T13:00:00+08:00
2026-09-15,13:10,533249197470,581999030146,1115248227616,2026-09-14,1155573861943,-40325634327,-3.489663,tencent,2026-09-15T13:10:00+08:00
2026-09-15,13:20,552997734442,603766691554,1156764425996,2026-09-14,1194332620728,-37568194732,-3.145539,tencent,2026-09-15T13:20:00+08:00
2026-09-15,13:30,569046994190,621664252896,1190711247086,2026-09-14,1234371512468,-43660265382,-3.537044,tencent,2026-09-15T13:30:00+08:00
2026-09-15,13:40,586435254292,641963293880,1228398548172,2026-09-14,1271233946432,-42835398260,-3.369592,tencent,2026-09-15T13:40:00+08:00
2026-09-15,13:50,601697377081,660501772811,1262199149892,2026-09-14,1305332278444,-43133128552,-3.304379,tencent,2026-09-15T13:50:00+08:00
2026-09-15,14:00,618714027175,679591641683,1298305668858,2026-09-14,1338544695786,-40239026928,-3.006177,tencent,2026-09-15T14:00:00+08:00
2026-09-15,14:10,637798503024,701088676603,1338887179627,2026-09-14,1371592733687,-32705554060,-2.384495,tencent,2026-09-15T14:10:00+08:00
2026-09-15,14:20,654108191735,718535266987,1372643458722,2026-09-14,1405477051741,-32833593019,-2.336117,tencent,2026-09-15T14:20:00+08:00
2026-09-15,14:30,673162460105,739850752162,1413013212267,2026-09-14,1441355090895,-28341878628,-1.966336,tencent,2026-09-15T14:30:00+08:00
2026-09-15,14:40,699340235702,771055313150,1470395548852,2026-09-14,1484978778902,-14583230050,-0.98205,tencent,2026-09-15T14:40:00+08:00
2026-09-15,14:50,726883180698,803600218119,1530483398817,2026-09-14,1545592504210,-15109105393,-0.977561,tencent,2026-09-15T14:50:00+08:00
2026-09-15,15:00,763982900036,848733889187,1612716789223,2026-09-14,1629175552105,-16458762882,-1.010251,tencent,2026-09-15T15:00:00+08:00
