trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-08-26,09:30,6878750806,8559015026,15437765832,2026-08-25,14540575189,897190643,6.170256,tencent,2026-08-26T09:30:00+08:00
2026-08-26,09:40,144074318593,162514711944,306589030537,2026-08-25,301741126896,4847903641,1.606643,tencent,2026-08-26T09:40:00+08:00
2026-08-26,09:50,221675478892,247041714267,468717193159,2026-08-25,475216724337,-6499531178,-1.367698,tencent,2026-08-26T09:50:00+08:00
2026-08-26,10:00,284225959594,318865302573,603091262167,2026-08-25,612776382786,-9685120619,-1.580531,tencent,2026-08-26T10:00:00+08:00
2026-08-26,10:10,338783045037,382508257070,721291302107,2026-08-25,725984055694,-4692753587,-0.646399,tencent,2026-08-26T10:10:00+08:00
2026-08-26,10:20,381076643177,427880130997,808956774174,2026-08-25,808630482070,326292104,0.040351,tencent,2026-08-26T10:20:00+08:00
2026-08-26,10:30,413889759600,465339629298,879229388898,2026-08-25,883650311290,-4420922392,-0.500302,tencent,2026-08-26T10:30:00+08:00
2026-08-26,10:40,453476518510,509994884683,963471403193,2026-08-25,946521484209,16949918984,1.790759,tencent,2026-08-26T10:40:00+08:00
2026-08-26,10:50,492099704857,551639274824,1043738979681,2026-08-25,995205276971,48533702710,4.876753,tencent,2026-08-26T10:50:00+08:00
2026-08-26,11:00,519139575891,581740778794,1100880354685,2026-08-25,1039251309302,61629045383,5.930139,tencent,2026-08-26T11:00:00+08:00
2026-08-26,11:10,541272830230,606440824791,1147713655021,2026-08-25,1077006391716,70707263305,6.565167,tencent,2026-08-26T11:10:00+08:00
2026-08-26,11:20,560875134012,627588057328,1188463191340,2026-08-25,1111149668430,77313522910,6.957976,tencent,2026-08-26T11:20:00+08:00
2026-08-26,11:30,580868610318,650035572377,1230904182695,2026-08-25,1147213069566,83691113129,7.295167,tencent,2026-08-26T11:30:00+08:00
2026-08-26,13:00,580868610318,650035572377,1230904182695,2026-08-25,1147213069566,83691113129,7.295167,tencent,2026-08-26T13:00:00+08:00
2026-08-26,13:10,609642896772,680330820428,1289973717200,2026-08-25,1238238476181,51735241019,4.178132,tencent,2026-08-26T13:10:00+08:00
2026-08-26,13:20,631671931849,703559531957,1335231463806,2026-08-25,1321782930873,13448532933,1.017454,tencent,2026-08-26T13:20:00+08:00
2026-08-26,13:30,649926015706,723916815223,1373842830929,2026-08-25,1377694075776,-3851244847,-0.279543,tencent,2026-08-26T13:30:00+08:00
2026-08-26,13:40,669340466266,745777966937,1415118433203,2026-08-25,1424251341969,-9132908766,-0.641243,tencent,2026-08-26T13:40:00+08:00
2026-08-26,13:50,685364154848,762939422518,1448303577366,2026-08-25,1470559824454,-22256247088,-1.513454,tencent,2026-08-26T13:50:00+08:00
2026-08-26,14:00,701878373593,780206943062,1482085316655,2026-08-25,1508573807043,-26488490388,-1.755863,tencent,2026-08-26T14:00:00+08:00
