trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-08-20,09:30,10249734236,10227058582,20476792818,2026-08-19,28401614913,-7924822095,-27.902717,tencent,2026-08-20T09:30:00+08:00
2026-08-20,09:40,192634795776,207184069646,399818865422,2026-08-19,448403659943,-48584794521,-10.835058,tencent,2026-08-20T09:40:00+08:00
2026-08-20,09:50,292474039827,305526764953,598000804780,2026-08-19,667613408840,-69612604060,-10.427083,tencent,2026-08-20T09:50:00+08:00
2026-08-20,10:00,363440227061,376014126705,739454353766,2026-08-19,823780601207,-84326247441,-10.236493,tencent,2026-08-20T10:00:00+08:00
2026-08-20,10:10,427564048028,439464686272,867028734300,2026-08-19,962255835558,-95227101258,-9.896235,tencent,2026-08-20T10:10:00+08:00
2026-08-20,10:20,480298453939,493806507655,974104961594,2026-08-19,1105338660459,-131233698865,-11.872714,tencent,2026-08-20T10:20:00+08:00
2026-08-20,10:30,521675363783,535106181844,1056781545627,2026-08-19,1212523127083,-155741581456,-12.844422,tencent,2026-08-20T10:30:00+08:00
2026-08-20,10:40,555409846905,569963583358,1125373430263,2026-08-19,1322930898170,-197557467907,-14.933317,tencent,2026-08-20T10:40:00+08:00
2026-08-20,10:50,583583206558,598551698722,1182134905280,2026-08-19,1394633344734,-212498439454,-15.236868,tencent,2026-08-20T10:50:00+08:00
2026-08-20,11:00,610118181539,627924345523,1238042527062,2026-08-19,1451759236633,-213716709571,-14.721223,tencent,2026-08-20T11:00:00+08:00
2026-08-20,11:10,634170153119,653135309110,1287305462229,2026-08-19,1506973288573,-219667826344,-14.576756,tencent,2026-08-20T11:10:00+08:00
2026-08-20,11:20,655740080079,675677030543,1331417110622,2026-08-19,1560597136615,-229180025993,-14.685406,tencent,2026-08-20T11:20:00+08:00
2026-08-20,11:30,674990752942,696267076453,1371257829395,2026-08-19,1618147841376,-246890011981,-15.257568,tencent,2026-08-20T11:30:00+08:00
2026-08-20,13:00,674990752942,696267076453,1371257829395,2026-08-19,1618147841376,-246890011981,-15.257568,tencent,2026-08-20T13:00:00+08:00
2026-08-20,13:10,710147987655,732072555441,1442220543096,2026-08-19,1716543521678,-274322978582,-15.981126,tencent,2026-08-20T13:10:00+08:00
2026-08-20,13:20,735183661530,757996397373,1493180058903,2026-08-19,1796420825040,-303240766137,-16.880274,tencent,2026-08-20T13:20:00+08:00
2026-08-20,13:30,756965168153,779884286696,1536849454849,2026-08-19,1871190486353,-334341031504,-17.867824,tencent,2026-08-20T13:30:00+08:00
2026-08-20,13:40,786185552027,811395833526,1597581385553,2026-08-19,1927521185962,-329939800409,-17.117311,tencent,2026-08-20T13:40:00+08:00
2026-08-20,13:50,809539890210,835996452158,1645536342368,2026-08-19,1968742719350,-323206376982,-16.416893,tencent,2026-08-20T13:50:00+08:00
2026-08-20,14:00,833492527257,861491781672,1694984308929,2026-08-19,2013234838459,-318250529530,-15.807919,tencent,2026-08-20T14:00:00+08:00
2026-08-20,14:10,863402471897,893992767119,1757395239016,2026-08-19,2065478891402,-308083652386,-14.915846,tencent,2026-08-20T14:10:00+08:00
2026-08-20,14:20,885687401371,917046981572,1802734382943,2026-08-19,2123695334754,-320960951811,-15.113324,tencent,2026-08-20T14:20:00+08:00
2026-08-20,14:30,910555442700,941810087746,1852365530446,2026-08-19,2182602354136,-330236823690,-15.130416,tencent,2026-08-20T14:30:00+08:00
