trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-09-09,09:30,7661274929,9802122166,17463397095,2026-09-08,14547178979,2916218116,20.046623,tencent,2026-09-09T09:30:00+08:00
2026-09-09,09:40,160492298976,179928098299,340420397275,2026-09-08,316575296874,23845100401,7.532205,tencent,2026-09-09T09:40:00+08:00
2026-09-09,09:50,242934752020,272239376114,515174128134,2026-09-08,506563506804,8610621330,1.699811,tencent,2026-09-09T09:50:00+08:00
2026-09-09,10:00,308870988283,342717569053,651588557336,2026-09-08,648545510298,3043047038,0.469211,tencent,2026-09-09T10:00:00+08:00
2026-09-09,10:10,356992547643,396536006159,753528553802,2026-09-08,757238875790,-3710321988,-0.48998,tencent,2026-09-09T10:10:00+08:00
2026-09-09,10:20,394854153934,440863970289,835718124223,2026-09-08,844803363281,-9085239058,-1.075426,tencent,2026-09-09T10:20:00+08:00
2026-09-09,10:30,426375957880,477023656083,903399613963,2026-09-08,938530149151,-35130535188,-3.743144,tencent,2026-09-09T10:30:00+08:00
2026-09-09,10:40,455992957842,510442580923,966435538765,2026-09-08,1021469727280,-55034188515,-5.387745,tencent,2026-09-09T10:40:00+08:00
2026-09-09,10:50,486198252174,542729900273,1028928152447,2026-09-08,1077670722568,-48742570121,-4.522956,tencent,2026-09-09T10:50:00+08:00
2026-09-09,11:00,516768575457,574511370240,1091279945697,2026-09-08,1130859074665,-39579128968,-3.499917,tencent,2026-09-09T11:00:00+08:00
2026-09-09,11:10,539812498910,598733215165,1138545714075,2026-09-08,1179105727756,-40560013681,-3.439896,tencent,2026-09-09T11:10:00+08:00
2026-09-09,11:20,557222782882,617045124502,1174267907384,2026-09-08,1217169017686,-42901110302,-3.524663,tencent,2026-09-09T11:20:00+08:00
2026-09-09,11:30,573736807816,634793519700,1208530327516,2026-09-08,1255019152524,-46488825008,-3.704232,tencent,2026-09-09T11:30:00+08:00
2026-09-09,13:00,573736807816,634793519700,1208530327516,2026-09-08,1255019152524,-46488825008,-3.704232,tencent,2026-09-09T13:00:00+08:00
2026-09-09,13:10,600156156442,663723894984,1263880051426,2026-09-08,1325679843049,-61799791623,-4.661743,tencent,2026-09-09T13:10:00+08:00
2026-09-09,13:20,624204747097,690641070927,1314845818024,2026-09-08,1376034306478,-61188488454,-4.446727,tencent,2026-09-09T13:20:00+08:00
2026-09-09,13:30,647277678656,717688702439,1364966381095,2026-09-08,1424808773632,-59842392537,-4.20003,tencent,2026-09-09T13:30:00+08:00
2026-09-09,13:40,671715498947,747533394190,1419248893137,2026-09-08,1472443260249,-53194367112,-3.61266,tencent,2026-09-09T13:40:00+08:00
2026-09-09,13:50,693083859334,770778355350,1463862214684,2026-09-08,1519810724007,-55948509323,-3.681281,tencent,2026-09-09T13:50:00+08:00
2026-09-09,14:00,716635822606,797715763779,1514351586385,2026-09-08,1568838662419,-54487076034,-3.473083,tencent,2026-09-09T14:00:00+08:00
2026-09-09,14:10,736225733795,820492553143,1556718286938,2026-09-08,1621304012998,-64585726060,-3.983567,tencent,2026-09-09T14:10:00+08:00
2026-09-09,14:20,753763691195,840454850627,1594218541822,2026-09-08,1684115707639,-89897165817,-5.337945,tencent,2026-09-09T14:20:00+08:00
2026-09-09,14:30,774284712708,866498926135,1640783638843,2026-09-08,1742447971518,-101664332675,-5.834569,tencent,2026-09-09T14:30:00+08:00
2026-09-09,14:40,800050690265,896443209680,1696493899945,2026-09-08,1795859445918,-99365545973,-5.533036,tencent,2026-09-09T14:40:00+08:00
