trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-08-27,09:30,7888762288,9154437688,17043199976,2026-08-26,15437765832,1605434144,10.399394,tencent,2026-08-27T09:30:00+08:00
2026-08-27,09:40,159409316330,170800058228,330209374558,2026-08-26,306589030537,23620344021,7.704237,tencent,2026-08-27T09:40:00+08:00
2026-08-27,09:50,240922231464,257006197243,497928428707,2026-08-26,468717193159,29211235548,6.232166,tencent,2026-08-27T09:50:00+08:00
2026-08-27,10:00,307447647243,332683947548,640131594791,2026-08-26,603091262167,37040332624,6.141746,tencent,2026-08-27T10:00:00+08:00
2026-08-27,10:10,362609450105,396016143657,758625593762,2026-08-26,721291302107,37334291655,5.176035,tencent,2026-08-27T10:10:00+08:00
2026-08-27,10:20,408816094317,446880400939,855696495256,2026-08-26,808956774174,46739721082,5.777777,tencent,2026-08-27T10:20:00+08:00
2026-08-27,10:30,446600363077,487845877448,934446240525,2026-08-26,879229388898,55216851627,6.280142,tencent,2026-08-27T10:30:00+08:00
2026-08-27,10:40,488501704097,535523619081,1024025323178,2026-08-26,963471403193,60553919985,6.284973,tencent,2026-08-27T10:40:00+08:00
2026-08-27,10:50,528158479975,576817520490,1104976000465,2026-08-26,1043738979681,61237020784,5.867082,tencent,2026-08-27T10:50:00+08:00
2026-08-27,11:00,566741975506,616802043867,1183544019373,2026-08-26,1100880354685,82663664688,7.508869,tencent,2026-08-27T11:00:00+08:00
2026-08-27,11:10,596436099945,646550671628,1242986771573,2026-08-26,1147713655021,95273116552,8.301123,tencent,2026-08-27T11:10:00+08:00
2026-08-27,11:20,621988865695,673555562148,1295544427843,2026-08-26,1188463191340,107081236503,9.010059,tencent,2026-08-27T11:20:00+08:00
2026-08-27,11:30,649191165939,702495475637,1351686641576,2026-08-26,1230904182695,120782458881,9.812499,tencent,2026-08-27T11:30:00+08:00
2026-08-27,13:00,649191165939,702495475637,1351686641576,2026-08-26,1230904182695,120782458881,9.812499,tencent,2026-08-27T13:00:00+08:00
2026-08-27,13:10,688119198505,745240027278,1433359225783,2026-08-26,1289973717200,143385508583,11.115382,tencent,2026-08-27T13:10:00+08:00
2026-08-27,13:20,719695256597,780162981958,1499858238555,2026-08-26,1335231463806,164626774749,12.329456,tencent,2026-08-27T13:20:00+08:00
2026-08-27,13:30,751121850994,815100860364,1566222711358,2026-08-26,1373842830929,192379880429,14.003049,tencent,2026-08-27T13:30:00+08:00
2026-08-27,13:40,778260967319,846493358930,1624754326249,2026-08-26,1415118433203,209635893046,14.814018,tencent,2026-08-27T13:40:00+08:00
2026-08-27,13:50,799852301158,871866966837,1671719267995,2026-08-26,1448303577366,223415690629,15.426026,tencent,2026-08-27T13:50:00+08:00
2026-08-27,14:00,818679602394,893623589172,1712303191566,2026-08-26,1484076962192,228226229374,15.378328,tencent,2026-08-27T14:00:00+08:00
2026-08-27,14:10,839034828520,916888171085,1755922999605,2026-08-26,1524693069234,231229930371,15.165671,tencent,2026-08-27T14:10:00+08:00
2026-08-27,14:20,859871336857,940203910177,1800075247034,2026-08-26,1561995441055,238079805979,15.24203,tencent,2026-08-27T14:20:00+08:00
2026-08-27,14:30,884384770177,967193234454,1851578004631,2026-08-26,1601797817178,249780187453,15.59374,tencent,2026-08-27T14:30:00+08:00
2026-08-27,14:40,915788927496,1004352286828,1920141214324,2026-08-26,1650136814206,270004400118,16.362546,tencent,2026-08-27T14:40:00+08:00
2026-08-27,14:50,956523244309,1051862697971,2008385942280,2026-08-26,1715157872049,293228070231,17.096273,tencent,2026-08-27T14:50:00+08:00
2026-08-27,15:00,1010226573955,1115700224417,2125926798372,2026-08-26,1808723242258,317203556114,17.537429,tencent,2026-08-27T15:00:00+08:00
