trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-09-04,09:30,6930221455,8562108978,15492330433,2026-09-03,14478281404,1014049029,7.003932,tencent,2026-09-04T09:30:00+08:00
2026-09-04,09:40,150940427195,181628154191,332568581386,2026-09-03,306743106085,25825475301,8.419252,tencent,2026-09-04T09:40:00+08:00
2026-09-04,09:50,235552372062,288216560701,523768932763,2026-09-03,455349085466,68419847297,15.025801,tencent,2026-09-04T09:50:00+08:00
2026-09-04,10:00,302806255999,370569442491,673375698490,2026-09-03,576564663483,96811035007,16.791011,tencent,2026-09-04T10:00:00+08:00
2026-09-04,10:10,351852690252,432117669078,783970359330,2026-09-03,672326111357,111644247973,16.605669,tencent,2026-09-04T10:10:00+08:00
2026-09-04,10:20,389656357036,477905663118,867562020154,2026-09-03,746317610701,121244409453,16.245685,tencent,2026-09-04T10:20:00+08:00
2026-09-04,10:30,424110984721,515908877238,940019861959,2026-09-03,806684844344,133335017615,16.528762,tencent,2026-09-04T10:30:00+08:00
2026-09-04,10:40,455049938185,552712828727,1007762766912,2026-09-03,866046055674,141716711238,16.363646,tencent,2026-09-04T10:40:00+08:00
2026-09-04,10:50,481356696062,583207587977,1064564284039,2026-09-03,913597043551,150967240488,16.524489,tencent,2026-09-04T10:50:00+08:00
2026-09-04,11:00,504505741164,609287726439,1113793467603,2026-09-03,965024242015,148769225588,15.416113,tencent,2026-09-04T11:00:00+08:00
2026-09-04,11:10,524202971367,631895548254,1156098519621,2026-09-03,1004969491314,151129028307,15.038171,tencent,2026-09-04T11:10:00+08:00
2026-09-04,11:20,541944725987,652575946503,1194520672490,2026-09-03,1050441723620,144078948870,13.716034,tencent,2026-09-04T11:20:00+08:00
2026-09-04,11:30,560288286118,673883645614,1234171931732,2026-09-03,1098668918332,135503013400,12.33338,tencent,2026-09-04T11:30:00+08:00
2026-09-04,13:00,560288286118,673883645614,1234171931732,2026-09-03,1098668918332,135503013400,12.33338,tencent,2026-09-04T13:00:00+08:00
2026-09-04,13:10,592920056496,707065805854,1299985862350,2026-09-03,1156801725575,143184136775,12.377587,tencent,2026-09-04T13:10:00+08:00
2026-09-04,13:20,616473008033,732637491126,1349110499159,2026-09-03,1207332882758,141777616401,11.743043,tencent,2026-09-04T13:20:00+08:00
2026-09-04,13:30,643927331471,765623078851,1409550410322,2026-09-03,1269202573853,140347836469,11.057954,tencent,2026-09-04T13:30:00+08:00
2026-09-04,13:40,673816831437,799963577885,1473780409322,2026-09-03,1311547790306,162232619016,12.369555,tencent,2026-09-04T13:40:00+08:00
2026-09-04,13:50,696464701495,824579262351,1521043963846,2026-09-03,1349625720352,171418243494,12.701169,tencent,2026-09-04T13:50:00+08:00
2026-09-04,14:00,726280526161,857351537990,1583632064151,2026-09-03,1401603541818,182028522333,12.987162,tencent,2026-09-04T14:00:00+08:00
2026-09-04,14:10,752192712501,884162785401,1636355497902,2026-09-03,1471942106060,164413391842,11.169827,tencent,2026-09-04T14:10:00+08:00
2026-09-04,14:20,777535219341,912589564888,1690124784229,2026-09-03,1515812180704,174312603525,11.499618,tencent,2026-09-04T14:20:00+08:00
2026-09-04,14:30,803517317385,940810079385,1744327396770,2026-09-03,1556043297125,188284099645,12.100184,tencent,2026-09-04T14:30:00+08:00
