trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-08-19,09:30,13909757057,14491857856,28401614913,2026-08-18,20694628236,7706986677,37.241484,tencent,2026-08-19T09:30:00+08:00
2026-08-19,09:40,212741131712,235662528231,448403659943,2026-08-18,405721847060,42681812883,10.519969,tencent,2026-08-19T09:40:00+08:00
2026-08-19,09:50,320040517015,347572891825,667613408840,2026-08-18,641868887947,25744520893,4.010869,tencent,2026-08-19T09:50:00+08:00
2026-08-19,10:00,394744746475,429035854732,823780601207,2026-08-18,826497333972,-2716732765,-0.328704,tencent,2026-08-19T10:00:00+08:00
2026-08-19,10:10,459499545099,502756290459,962255835558,2026-08-18,960905534027,1350301531,0.140524,tencent,2026-08-19T10:10:00+08:00
2026-08-19,10:20,528293365658,577045294801,1105338660459,2026-08-18,1083544146834,21794513625,2.01141,tencent,2026-08-19T10:20:00+08:00
2026-08-19,10:30,581735077560,630788049523,1212523127083,2026-08-18,1191502956656,21020170427,1.764173,tencent,2026-08-19T10:30:00+08:00
2026-08-19,10:40,636969423220,685961474950,1322930898170,2026-08-18,1273995890787,48935007383,3.841065,tencent,2026-08-19T10:40:00+08:00
