trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-08-18,09:30,9605293524,11089334712,20694628236,2026-08-17,18814048595,1880579641,9.995614,tencent,2026-08-18T09:30:00+08:00
2026-08-18,09:40,194275540554,211446306506,405721847060,2026-08-17,402019395564,3702451496,0.920963,tencent,2026-08-18T09:40:00+08:00
2026-08-18,09:50,304753197860,337115690087,641868887947,2026-08-17,610457017102,31411870845,5.145632,tencent,2026-08-18T09:50:00+08:00
2026-08-18,10:00,390070877716,436426456256,826497333972,2026-08-17,784620948277,41876385695,5.337149,tencent,2026-08-18T10:00:00+08:00
2026-08-18,10:10,455872039420,505033494607,960905534027,2026-08-17,911306761129,49598772898,5.442599,tencent,2026-08-18T10:10:00+08:00
2026-08-18,10:20,514239426462,569304720372,1083544146834,2026-08-17,1013438741999,70105404835,6.917577,tencent,2026-08-18T10:20:00+08:00
2026-08-18,10:30,566028672150,625474284506,1191502956656,2026-08-17,1094427815042,97075141614,8.869945,tencent,2026-08-18T10:30:00+08:00
2026-08-18,10:40,606174160667,667821730120,1273995890787,2026-08-17,1167157485462,106838405325,9.153727,tencent,2026-08-18T10:40:00+08:00
2026-08-18,10:50,647187345052,715457814252,1362645159304,2026-08-17,1244482369085,118162790219,9.494935,tencent,2026-08-18T10:50:00+08:00
2026-08-18,11:00,687079799497,762073355433,1449153154930,2026-08-17,1316263143874,132890011056,10.096006,tencent,2026-08-18T11:00:00+08:00
2026-08-18,11:10,719749320842,800060204350,1519809525192,2026-08-17,1388566095117,131243430075,9.451724,tencent,2026-08-18T11:10:00+08:00
2026-08-18,11:20,749213106427,830937917828,1580151024255,2026-08-17,1445046195833,135104828422,9.349516,tencent,2026-08-18T11:20:00+08:00
2026-08-18,11:30,776333512300,860056701433,1636390213733,2026-08-17,1497101267696,139288946037,9.303909,tencent,2026-08-18T11:30:00+08:00
2026-08-18,13:00,776333512300,860056701433,1636390213733,2026-08-17,1497101267696,139288946037,9.303909,tencent,2026-08-18T13:00:00+08:00
2026-08-18,13:10,809657214566,896156778069,1705813992635,2026-08-17,1591494162789,114319829846,7.183176,tencent,2026-08-18T13:10:00+08:00
2026-08-18,13:20,833814496409,924033953685,1757848450094,2026-08-17,1665925771581,91922678513,5.517814,tencent,2026-08-18T13:20:00+08:00
2026-08-18,13:30,856814217516,947554152371,1804368369887,2026-08-17,1730084965970,74283403917,4.293628,tencent,2026-08-18T13:30:00+08:00
2026-08-18,13:40,881963737534,973242649463,1855206386997,2026-08-17,1788309004901,66897382096,3.740818,tencent,2026-08-18T13:40:00+08:00
2026-08-18,13:50,903167291349,996601063929,1899768355278,2026-08-17,1846996274611,52772080667,2.857184,tencent,2026-08-18T13:50:00+08:00
