trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-08-12,09:30,6979008206,8994169817,15973178023,2026-08-11,19931416798,-3958238775,-19.859295,tencent,2026-08-12T09:30:00+08:00
2026-08-12,09:40,153788514488,187981886850,341770401338,2026-08-11,393171347417,-51400946079,-13.073421,tencent,2026-08-12T09:40:00+08:00
2026-08-12,09:50,240212087621,293860675239,534072762860,2026-08-11,592095160862,-58022398002,-9.799506,tencent,2026-08-12T09:50:00+08:00
2026-08-12,10:00,306881160647,373678989476,680560150123,2026-08-11,734751982863,-54191832740,-7.375527,tencent,2026-08-12T10:00:00+08:00
2026-08-12,10:10,364461142863,442376807317,806837950180,2026-08-11,871347661044,-64509710864,-7.403441,tencent,2026-08-12T10:10:00+08:00
2026-08-12,10:20,408415996725,491608311315,900024308040,2026-08-11,983359224690,-83334916650,-8.474514,tencent,2026-08-12T10:20:00+08:00
2026-08-12,10:30,444387319708,535089228479,979476548187,2026-08-11,1078559225507,-99082677320,-9.186577,tencent,2026-08-12T10:30:00+08:00
2026-08-12,10:40,483563190125,581436344404,1064999534529,2026-08-11,1176530102260,-111530567731,-9.479619,tencent,2026-08-12T10:40:00+08:00
2026-08-12,10:50,516630460665,619080370595,1135710831260,2026-08-11,1271994734027,-136283902767,-10.714188,tencent,2026-08-12T10:50:00+08:00
2026-08-12,11:00,548853852479,655931273692,1204785126171,2026-08-11,1343837049828,-139051923657,-10.34738,tencent,2026-08-12T11:00:00+08:00
2026-08-12,11:10,582626445425,693608530156,1276234975581,2026-08-11,1413119000116,-136884024535,-9.686659,tencent,2026-08-12T11:10:00+08:00
2026-08-12,11:20,607949212586,725743804866,1333693017452,2026-08-11,1469944636005,-136251618553,-9.269167,tencent,2026-08-12T11:20:00+08:00
2026-08-12,11:30,630617125062,751279187654,1381896312716,2026-08-11,1519354921824,-137458609108,-9.047169,tencent,2026-08-12T11:30:00+08:00
