trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-08-14,09:30,8923259279,10889236863,19812496142,2026-08-13,22638325976,-2825829834,-12.482504,tencent,2026-08-14T09:30:00+08:00
2026-08-14,09:40,176174975051,207066005209,383240980260,2026-08-13,436392828070,-53151847810,-12.179817,tencent,2026-08-14T09:40:00+08:00
2026-08-14,09:50,268417002975,313842607464,582259610439,2026-08-13,647662344089,-65402733650,-10.098276,tencent,2026-08-14T09:50:00+08:00
2026-08-14,10:00,336831826808,395460842478,732292669286,2026-08-13,829214815757,-96922146471,-11.688424,tencent,2026-08-14T10:00:00+08:00
2026-08-14,10:10,387109187494,455670652955,842779840449,2026-08-13,960204533559,-117424693110,-12.229133,tencent,2026-08-14T10:10:00+08:00
2026-08-14,10:20,429206528755,506745367053,935951895808,2026-08-13,1076622904963,-140671009155,-13.06595,tencent,2026-08-14T10:20:00+08:00
2026-08-14,10:30,469766713261,557154946784,1026921660045,2026-08-13,1174376163023,-147454502978,-12.555986,tencent,2026-08-14T10:30:00+08:00
2026-08-14,10:40,508512343477,600210472874,1108722816351,2026-08-13,1283207879963,-174485063612,-13.597568,tencent,2026-08-14T10:40:00+08:00
2026-08-14,10:50,537659861764,633081330220,1170741191984,2026-08-13,1363829828929,-193088636945,-14.157825,tencent,2026-08-14T10:50:00+08:00
2026-08-14,11:00,566920513125,665875250502,1232795763627,2026-08-13,1430505279130,-197709515503,-13.820957,tencent,2026-08-14T11:00:00+08:00
2026-08-14,11:10,595310756220,696839351969,1292150108189,2026-08-13,1487971865545,-195821757356,-13.160313,tencent,2026-08-14T11:10:00+08:00
2026-08-14,11:20,619773085285,724401906011,1344174991296,2026-08-13,1541932057365,-197757066069,-12.825278,tencent,2026-08-14T11:20:00+08:00
2026-08-14,11:30,640115018159,747237400560,1387352418719,2026-08-13,1589469651027,-202117232308,-12.716017,tencent,2026-08-14T11:30:00+08:00
