trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-08-24,09:30,7502643375,10094577120,17597220495,2026-08-21,15954687652,1642532843,10.294986,tencent,2026-08-24T09:30:00+08:00
2026-08-24,09:40,170868360257,203379908142,374248268399,2026-08-21,330463069086,43785199313,13.24965,tencent,2026-08-24T09:40:00+08:00
2026-08-24,09:50,265172602781,313319131834,578491734615,2026-08-21,515084617532,63407117083,12.310039,tencent,2026-08-24T09:50:00+08:00
2026-08-24,10:00,334000762570,390546963427,724547725997,2026-08-21,647650546262,76897179735,11.873252,tencent,2026-08-24T10:00:00+08:00
2026-08-24,10:10,389697523258,450050222792,839747746050,2026-08-21,765885041463,73862704587,9.644098,tencent,2026-08-24T10:10:00+08:00
2026-08-24,10:20,433818031899,495696462199,929514494098,2026-08-21,868826456307,60688037791,6.985059,tencent,2026-08-24T10:20:00+08:00
2026-08-24,10:30,471821636462,535392451799,1007214088261,2026-08-21,955911420563,51302667698,5.366885,tencent,2026-08-24T10:30:00+08:00
2026-08-24,10:40,508101032716,571931217171,1080032249887,2026-08-21,1033368975757,46663274130,4.515645,tencent,2026-08-24T10:40:00+08:00
