trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-08-21,09:30,7276088192,8678599460,15954687652,2026-08-20,20476792818,-4522105166,-22.08405,tencent,2026-08-21T09:30:00+08:00
2026-08-21,09:40,157033436511,173429632575,330463069086,2026-08-20,399818865422,-69355796336,-17.346804,tencent,2026-08-21T09:40:00+08:00
2026-08-21,09:50,243847585270,271237032262,515084617532,2026-08-20,598000804780,-82916187248,-13.865564,tencent,2026-08-21T09:50:00+08:00
2026-08-21,10:00,308508468713,339142077549,647650546262,2026-08-20,739454353766,-91803807504,-12.415074,tencent,2026-08-21T10:00:00+08:00
2026-08-21,10:10,364303430299,401581611164,765885041463,2026-08-20,867028734300,-101143692837,-11.665553,tencent,2026-08-21T10:10:00+08:00
2026-08-21,10:20,411898330167,456928126140,868826456307,2026-08-20,974104961594,-105278505287,-10.807717,tencent,2026-08-21T10:20:00+08:00
2026-08-21,10:30,451983537799,503927882764,955911420563,2026-08-20,1056781545627,-100870125064,-9.545031,tencent,2026-08-21T10:30:00+08:00
2026-08-21,10:40,488217198048,545151777709,1033368975757,2026-08-20,1125373430263,-92004454506,-8.17546,tencent,2026-08-21T10:40:00+08:00
2026-08-21,10:50,514531488065,576142149687,1090673637752,2026-08-20,1182134905280,-91461267528,-7.736957,tencent,2026-08-21T10:50:00+08:00
2026-08-21,11:00,536423351028,602917447115,1139340798143,2026-08-20,1238042527062,-98701728919,-7.972402,tencent,2026-08-21T11:00:00+08:00
2026-08-21,11:10,555664064676,624489034814,1180153099490,2026-08-20,1287305462229,-107152362739,-8.323771,tencent,2026-08-21T11:10:00+08:00
2026-08-21,11:20,574988069249,645443971806,1220432041055,2026-08-20,1331417110622,-110985069567,-8.33586,tencent,2026-08-21T11:20:00+08:00
2026-08-21,11:30,590670293455,662693275400,1253363568855,2026-08-20,1371257829395,-117894260540,-8.597527,tencent,2026-08-21T11:30:00+08:00
2026-08-21,13:00,590670293455,662693275400,1253363568855,2026-08-20,1371257829395,-117894260540,-8.597527,tencent,2026-08-21T13:00:00+08:00
2026-08-21,13:10,619194544766,695066888116,1314261432882,2026-08-20,1442220543096,-127959110214,-8.872368,tencent,2026-08-21T13:10:00+08:00
2026-08-21,13:20,638663486057,719639428524,1358302914581,2026-08-20,1493180058903,-134877144322,-9.032879,tencent,2026-08-21T13:20:00+08:00
2026-08-21,13:30,656062371334,742054376760,1398116748094,2026-08-20,1536849454849,-138732706755,-9.027085,tencent,2026-08-21T13:30:00+08:00
2026-08-21,13:40,675528423149,763630859506,1439159282655,2026-08-20,1597581385553,-158422102898,-9.916371,tencent,2026-08-21T13:40:00+08:00
2026-08-21,13:50,692073277624,782174146820,1474247424444,2026-08-20,1645536342368,-171288917924,-10.409306,tencent,2026-08-21T13:50:00+08:00
