trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-09-02,09:30,8523719096,10821372930,19345092026,2026-09-01,17091944277,2253147749,13.182513,tencent,2026-09-02T09:30:00+08:00
2026-09-02,09:40,164569928361,189220728218,353790656579,2026-09-01,365522292573,-11731635994,-3.209554,tencent,2026-09-02T09:40:00+08:00
2026-09-02,09:50,245634970251,278747476376,524382446627,2026-09-01,581419638045,-57037191418,-9.809987,tencent,2026-09-02T09:50:00+08:00
2026-09-02,10:00,303992561702,345853597706,649846159408,2026-09-01,733905314622,-84059155214,-11.453678,tencent,2026-09-02T10:00:00+08:00
2026-09-02,10:10,361019912175,413823285598,774843197773,2026-09-01,848804149072,-73960951299,-8.713547,tencent,2026-09-02T10:10:00+08:00
2026-09-02,10:20,402587883850,460657689405,863245573255,2026-09-01,942961922659,-79716349404,-8.453825,tencent,2026-09-02T10:20:00+08:00
2026-09-02,10:30,433111902724,496255230403,929367133127,2026-09-01,1029338163299,-99971030172,-9.712166,tencent,2026-09-02T10:30:00+08:00
2026-09-02,10:40,459621935428,527137072396,986759007824,2026-09-01,1101474666819,-114715658995,-10.414734,tencent,2026-09-02T10:40:00+08:00
2026-09-02,10:50,485475139006,555156742521,1040631881527,2026-09-01,1160064632375,-119432750848,-10.295353,tencent,2026-09-02T10:50:00+08:00
2026-09-02,11:00,506239317029,579531147164,1085770464193,2026-09-01,1215632340106,-129861875913,-10.682661,tencent,2026-09-02T11:00:00+08:00
2026-09-02,11:10,524342838880,600087648673,1124430487553,2026-09-01,1264781569940,-140351082387,-11.096863,tencent,2026-09-02T11:10:00+08:00
2026-09-02,11:20,543021498221,619641431821,1162662930042,2026-09-01,1303457074564,-140794144522,-10.801594,tencent,2026-09-02T11:20:00+08:00
2026-09-02,11:30,565410894625,643668168112,1209079062737,2026-09-01,1349398986676,-140319923939,-10.398698,tencent,2026-09-02T11:30:00+08:00
2026-09-02,13:00,565410894625,643668168112,1209079062737,2026-09-01,1349398986676,-140319923939,-10.398698,tencent,2026-09-02T13:00:00+08:00
2026-09-02,13:10,590756795376,672530097334,1263286892710,2026-09-01,1425172095831,-161885203121,-11.358993,tencent,2026-09-02T13:10:00+08:00
2026-09-02,13:20,608515294879,693123134493,1301638429372,2026-09-01,1489557949695,-187919520323,-12.615791,tencent,2026-09-02T13:20:00+08:00
2026-09-02,13:30,625599324404,713324816523,1338924140927,2026-09-01,1540140341731,-201216200804,-13.064796,tencent,2026-09-02T13:30:00+08:00
2026-09-02,13:40,645169674400,736215720869,1381385395269,2026-09-01,1586373103273,-204987708004,-12.921784,tencent,2026-09-02T13:40:00+08:00
2026-09-02,13:50,662376155053,755258419738,1417634574791,2026-09-01,1627444552619,-209809977828,-12.891989,tencent,2026-09-02T13:50:00+08:00
2026-09-02,14:00,680613246960,774923460887,1455536707847,2026-09-01,1668614927390,-213078219543,-12.769766,tencent,2026-09-02T14:00:00+08:00
2026-09-02,14:10,700412742222,796928050138,1497340792360,2026-09-01,1709267819958,-211927027598,-12.398702,tencent,2026-09-02T14:10:00+08:00
2026-09-02,14:20,718772273905,818104491926,1536876765831,2026-09-01,1758670213241,-221793447410,-12.611429,tencent,2026-09-02T14:20:00+08:00
