trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-09-01,09:30,7479427785,9612516492,17091944277,2026-08-31,25743616712,-8651672435,-33.607059,tencent,2026-09-01T09:30:00+08:00
2026-09-01,09:40,168828953962,196693338611,365522292573,2026-08-31,397594253308,-32071960735,-8.066505,tencent,2026-09-01T09:40:00+08:00
2026-09-01,09:50,269999240259,311420397786,581419638045,2026-08-31,599030936637,-17611298592,-2.939965,tencent,2026-09-01T09:50:00+08:00
2026-09-01,10:00,340253911435,393651403187,733905314622,2026-08-31,736038741444,-2133426822,-0.289853,tencent,2026-09-01T10:00:00+08:00
2026-09-01,10:10,392704934079,456099214993,848804149072,2026-08-31,844267872105,4536276967,0.537303,tencent,2026-09-01T10:10:00+08:00
2026-09-01,10:20,436948852017,506013070642,942961922659,2026-08-31,925472556198,17489366461,1.889777,tencent,2026-09-01T10:20:00+08:00
2026-09-01,10:30,477225086105,552113077194,1029338163299,2026-08-31,996757448675,32580714624,3.26867,tencent,2026-09-01T10:30:00+08:00
2026-09-01,10:40,511294795097,590179871722,1101474666819,2026-08-31,1071682112804,29792554015,2.779981,tencent,2026-09-01T10:40:00+08:00
2026-09-01,10:50,538761777170,621302855205,1160064632375,2026-08-31,1134436816599,25627815776,2.259078,tencent,2026-09-01T10:50:00+08:00
2026-09-01,11:00,565414969290,650217370816,1215632340106,2026-08-31,1193104172192,22528167914,1.888198,tencent,2026-09-01T11:00:00+08:00
2026-09-01,11:10,587964219789,676817350151,1264781569940,2026-08-31,1235069839971,29711729969,2.405672,tencent,2026-09-01T11:10:00+08:00
2026-09-01,11:20,606296808358,697160266206,1303457074564,2026-08-31,1273212765601,30244308963,2.375432,tencent,2026-09-01T11:20:00+08:00
2026-09-01,11:30,627532629418,721866357258,1349398986676,2026-08-31,1311184420957,38214565719,2.914507,tencent,2026-09-01T11:30:00+08:00
2026-09-01,13:00,627532629418,721866357258,1349398986676,2026-08-31,1311184420957,38214565719,2.914507,tencent,2026-09-01T13:00:00+08:00
2026-09-01,13:10,662613687352,762558408479,1425172095831,2026-08-31,1376915420032,48256675799,3.504694,tencent,2026-09-01T13:10:00+08:00
2026-09-01,13:20,690988288507,798569661188,1489557949695,2026-08-31,1430036152436,59521797259,4.162258,tencent,2026-09-01T13:20:00+08:00
2026-09-01,13:30,714131996707,826008345024,1540140341731,2026-08-31,1492212896183,47927445548,3.211837,tencent,2026-09-01T13:30:00+08:00
2026-09-01,13:40,735801033442,850572069831,1586373103273,2026-08-31,1552929202429,33443900844,2.153601,tencent,2026-09-01T13:40:00+08:00
2026-09-01,13:50,755178491288,872266061331,1627444552619,2026-08-31,1603105389465,24339163154,1.518251,tencent,2026-09-01T13:50:00+08:00
2026-09-01,14:00,774811254128,893803673262,1668614927390,2026-08-31,1654246928147,14367999243,0.868552,tencent,2026-09-01T14:00:00+08:00
2026-09-01,14:10,793923341489,915344478469,1709267819958,2026-08-31,1710715676433,-1447856475,-0.084635,tencent,2026-09-01T14:10:00+08:00
2026-09-01,14:20,817180724922,941489488319,1758670213241,2026-08-31,1777514407863,-18844194622,-1.060143,tencent,2026-09-01T14:20:00+08:00
2026-09-01,14:30,840158041101,966793816208,1806951857309,2026-08-31,1845779099779,-38827242470,-2.103569,tencent,2026-09-01T14:30:00+08:00
2026-09-01,14:40,866219651337,995379776121,1861599427458,2026-08-31,1917022929181,-55423501723,-2.891124,tencent,2026-09-01T14:40:00+08:00
