trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-09-03,09:30,6591195041,7887086363,14478281404,2026-09-02,19345092026,-4866810622,-25.157857,tencent,2026-09-03T09:30:00+08:00
2026-09-03,09:40,143621579357,163121526728,306743106085,2026-09-02,353790656579,-47047550494,-13.298133,tencent,2026-09-03T09:40:00+08:00
2026-09-03,09:50,213115480634,242233604832,455349085466,2026-09-02,524382446627,-69033361161,-13.164697,tencent,2026-09-03T09:50:00+08:00
2026-09-03,10:00,269172862450,307391801033,576564663483,2026-09-02,649846159408,-73281495925,-11.276745,tencent,2026-09-03T10:00:00+08:00
2026-09-03,10:10,314623246980,357702864377,672326111357,2026-09-02,774843197773,-102517086416,-13.230688,tencent,2026-09-03T10:10:00+08:00
2026-09-03,10:20,351215604554,395102006147,746317610701,2026-09-02,863245573255,-116927962554,-13.545156,tencent,2026-09-03T10:20:00+08:00
2026-09-03,10:30,380319915056,426364929288,806684844344,2026-09-02,929367133127,-122682288783,-13.200627,tencent,2026-09-03T10:30:00+08:00
2026-09-03,10:40,408406700632,457639355042,866046055674,2026-09-02,986759007824,-120712952150,-12.233276,tencent,2026-09-03T10:40:00+08:00
2026-09-03,10:50,430334333252,483262710299,913597043551,2026-09-02,1040631881527,-127034837976,-12.207471,tencent,2026-09-03T10:50:00+08:00
2026-09-03,11:00,453167694159,511856547856,965024242015,2026-09-02,1085770464193,-120746222178,-11.120787,tencent,2026-09-03T11:00:00+08:00
2026-09-03,11:10,471553658450,533415832864,1004969491314,2026-09-02,1124430487553,-119460996239,-10.624134,tencent,2026-09-03T11:10:00+08:00
2026-09-03,11:20,493313762938,557127960682,1050441723620,2026-09-02,1162662930042,-112221206422,-9.652084,tencent,2026-09-03T11:20:00+08:00
2026-09-03,11:30,515810581317,582858337015,1098668918332,2026-09-02,1209079062737,-110410144405,-9.131756,tencent,2026-09-03T11:30:00+08:00
2026-09-03,13:00,515810581317,582858337015,1098668918332,2026-09-02,1209079062737,-110410144405,-9.131756,tencent,2026-09-03T13:00:00+08:00
2026-09-03,13:10,542667557895,614134167680,1156801725575,2026-09-02,1263286892710,-106485167135,-8.429215,tencent,2026-09-03T13:10:00+08:00
2026-09-03,13:20,565941875647,641391007111,1207332882758,2026-09-02,1301638429372,-94305546614,-7.245142,tencent,2026-09-03T13:20:00+08:00
2026-09-03,13:30,594512958188,674689615665,1269202573853,2026-09-02,1338924140927,-69721567074,-5.207283,tencent,2026-09-03T13:30:00+08:00
2026-09-03,13:40,614230532212,697317258094,1311547790306,2026-09-02,1381385395269,-69837604963,-5.055621,tencent,2026-09-03T13:40:00+08:00
2026-09-03,13:50,631233013974,718392706378,1349625720352,2026-09-02,1417634574791,-68008854439,-4.797347,tencent,2026-09-03T13:50:00+08:00
2026-09-03,14:00,654809996977,746793544841,1401603541818,2026-09-02,1455536707847,-53933166029,-3.70538,tencent,2026-09-03T14:00:00+08:00
2026-09-03,14:10,687730837262,784211268798,1471942106060,2026-09-02,1497340792360,-25398686300,-1.696253,tencent,2026-09-03T14:10:00+08:00
2026-09-03,14:20,708388000779,807424179925,1515812180704,2026-09-02,1536964119918,-21151939214,-1.376216,tencent,2026-09-03T14:20:00+08:00
