trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-09-24,09:30,5934196660,7275048193,13209244853,2026-09-23,13695565389,-486320536,-3.550934,tencent,2026-09-24T09:30:00+08:00
2026-09-24,09:40,133921077306,151394974856,285316052162,2026-09-23,304528886332,-19212834170,-6.309035,tencent,2026-09-24T09:40:00+08:00
2026-09-24,09:50,207789511615,229908094560,437697606175,2026-09-23,473256121280,-35558515105,-7.513588,tencent,2026-09-24T09:50:00+08:00
2026-09-24,10:00,258459989526,288789235906,547249225432,2026-09-23,607651033281,-60401807849,-9.940213,tencent,2026-09-24T10:00:00+08:00
2026-09-24,10:10,305491902147,338183680208,643675582355,2026-09-23,716375045321,-72699462966,-10.148241,tencent,2026-09-24T10:10:00+08:00
2026-09-24,10:20,342734209093,378915007009,721649216102,2026-09-23,800164644495,-78515428393,-9.812409,tencent,2026-09-24T10:20:00+08:00
2026-09-24,10:30,376255275624,412540138352,788795413976,2026-09-23,870119311806,-81323897830,-9.346293,tencent,2026-09-24T10:30:00+08:00
2026-09-24,10:40,407133397790,444146545515,851279943305,2026-09-23,931169027693,-79889084388,-8.57944,tencent,2026-09-24T10:40:00+08:00
2026-09-24,10:50,428810487698,467011447275,895821934973,2026-09-23,987721803007,-91899868034,-9.304226,tencent,2026-09-24T10:50:00+08:00
2026-09-24,11:00,448798519961,488533955768,937332475729,2026-09-23,1039910495090,-102578019361,-9.86412,tencent,2026-09-24T11:00:00+08:00
2026-09-24,11:10,467542623050,510433504621,977976127671,2026-09-23,1087478134972,-109502007301,-10.069353,tencent,2026-09-24T11:10:00+08:00
2026-09-24,11:20,486623889556,533499142028,1020123031584,2026-09-23,1125884482535,-105761450951,-9.393633,tencent,2026-09-24T11:20:00+08:00
2026-09-24,11:30,508312238656,559354559146,1067666797802,2026-09-23,1159057159207,-91390361405,-7.884888,tencent,2026-09-24T11:30:00+08:00
2026-09-24,13:00,508312238656,559354559146,1067666797802,2026-09-23,1159057159207,-91390361405,-7.884888,tencent,2026-09-24T13:00:00+08:00
2026-09-24,13:10,534106813332,585459786706,1119566600038,2026-09-23,1216200544108,-96633944070,-7.94556,tencent,2026-09-24T13:10:00+08:00
2026-09-24,13:20,552739694980,607351773786,1160091468766,2026-09-23,1258242545855,-98151077089,-7.800648,tencent,2026-09-24T13:20:00+08:00
2026-09-24,13:30,569837130913,626138495470,1195975626383,2026-09-23,1299684392918,-103708766535,-7.979535,tencent,2026-09-24T13:30:00+08:00
2026-09-24,13:40,587565656494,646713304128,1234278960622,2026-09-23,1342026170650,-107747210028,-8.028697,tencent,2026-09-24T13:40:00+08:00
2026-09-24,13:50,603184800055,665217316055,1268402116110,2026-09-23,1379135857830,-110733741720,-8.029212,tencent,2026-09-24T13:50:00+08:00
2026-09-24,14:00,621023309814,685397983017,1306421292831,2026-09-23,1419096638222,-112675345391,-7.939935,tencent,2026-09-24T14:00:00+08:00
2026-09-24,14:10,640655235911,706672591119,1347327827030,2026-09-23,1460826822515,-113498995485,-7.769504,tencent,2026-09-24T14:10:00+08:00
2026-09-24,14:20,659952358150,728540396285,1388492754435,2026-09-23,1500889697500,-112396943065,-7.488688,tencent,2026-09-24T14:20:00+08:00
2026-09-24,14:30,681298688855,752328726638,1433627415493,2026-09-23,1543442841058,-109815425565,-7.114965,tencent,2026-09-24T14:30:00+08:00
