trade_date,minute,shanghai_amount_yuan,shenzhen_amount_yuan,total_amount_yuan,previous_trade_date,previous_total_amount_yuan,delta_amount_yuan,temperature_pct,source,quote_at
2026-09-14,09:30,7187284960,9267239245,16454524205,2026-09-11,17941877188,-1487352983,-8.28984,tencent,2026-09-14T09:30:00+08:00
2026-09-14,09:40,150474942276,165611832450,316086774726,2026-09-11,339157709917,-23070935191,-6.802421,tencent,2026-09-14T09:40:00+08:00
2026-09-14,09:50,227543664997,251390041481,478933706478,2026-09-11,530977605991,-52043899513,-9.801524,tencent,2026-09-14T09:50:00+08:00
2026-09-14,10:00,288481921913,317037484918,605519406831,2026-09-11,660687211652,-55167804821,-8.350064,tencent,2026-09-14T10:00:00+08:00
2026-09-14,10:10,337127912067,372041678933,709169591000,2026-09-11,767240237526,-58070646526,-7.56877,tencent,2026-09-14T10:10:00+08:00
2026-09-14,10:20,371455620671,410643536735,782099157406,2026-09-11,869526982923,-87427825517,-10.054642,tencent,2026-09-14T10:20:00+08:00
2026-09-14,10:30,404385157094,448629409679,853014566773,2026-09-11,943421774981,-90407208208,-9.582905,tencent,2026-09-14T10:30:00+08:00
2026-09-14,10:40,431403608003,479041341164,910444949167,2026-09-11,1016963990157,-106519040990,-10.47422,tencent,2026-09-14T10:40:00+08:00
2026-09-14,10:50,455696131257,505364400159,961060531416,2026-09-11,1084346777350,-123286245934,-11.369633,tencent,2026-09-14T10:50:00+08:00
2026-09-14,11:00,477092511523,527609488463,1004701999986,2026-09-11,1140211326679,-135509326693,-11.88458,tencent,2026-09-14T11:00:00+08:00
2026-09-14,11:10,494471402295,545621022941,1040092425236,2026-09-11,1189083810762,-148991385526,-12.529931,tencent,2026-09-14T11:10:00+08:00
2026-09-14,11:20,510253360608,562139672063,1072393032671,2026-09-11,1237510035640,-165117002969,-13.34268,tencent,2026-09-14T11:20:00+08:00
2026-09-14,11:30,526345052523,577965788995,1104310841518,2026-09-11,1274848216537,-170537375019,-13.377073,tencent,2026-09-14T11:30:00+08:00
2026-09-14,13:00,526345052523,577965788995,1104310841518,2026-09-11,1274848216537,-170537375019,-13.377073,tencent,2026-09-14T13:00:00+08:00
2026-09-14,13:10,550339735944,605234125999,1155573861943,2026-09-11,1335152140263,-179578278320,-13.450024,tencent,2026-09-14T13:10:00+08:00
2026-09-14,13:20,568720044100,625612576628,1194332620728,2026-09-11,1381790261036,-187457640308,-13.566288,tencent,2026-09-14T13:20:00+08:00
2026-09-14,13:30,587449467471,646922044997,1234371512468,2026-09-11,1432139833307,-197768320839,-13.809288,tencent,2026-09-14T13:30:00+08:00
2026-09-14,13:40,605084682835,666149263597,1271233946432,2026-09-11,1499215863826,-227981917394,-15.206744,tencent,2026-09-14T13:40:00+08:00
2026-09-14,13:50,622127538423,683204740021,1305332278444,2026-09-11,1569951244716,-264618966272,-16.855235,tencent,2026-09-14T13:50:00+08:00
2026-09-14,14:00,638760743091,699783952695,1338544695786,2026-09-11,1622438625451,-283893929665,-17.497977,tencent,2026-09-14T14:00:00+08:00
2026-09-14,14:10,654702814455,716889919232,1371592733687,2026-09-11,1669278363927,-297685630240,-17.833193,tencent,2026-09-14T14:10:00+08:00
2026-09-14,14:20,671259420101,734217631640,1405477051741,2026-09-11,1720075123474,-314598071733,-18.289787,tencent,2026-09-14T14:20:00+08:00
2026-09-14,14:30,688877729817,752477361078,1441355090895,2026-09-11,1762183003404,-320827912509,-18.206277,tencent,2026-09-14T14:30:00+08:00
2026-09-14,14:40,710465364426,774513414476,1484978778902,2026-09-11,1814860616787,-329881837885,-18.176704,tencent,2026-09-14T14:40:00+08:00
2026-09-14,14:50,739903698582,805688805628,1545592504210,2026-09-11,1880422623518,-334830119308,-17.80611,tencent,2026-09-14T14:50:00+08:00
