published_at,symbol,code,name,title,direction,categories,down_occurrence_30d,tencent_url,pdf_url
2026-09-02T20:29:33+08:00,sz000017,000017,深中华A,深中华A：股票交易严重异常波动公告,up,,,https://gu.qq.com/sz000017/gp/notice/nos1225545124,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225545124.PDF
2026-09-02T20:21:11+08:00,sz000635,000635,英 力 特,英 力 特：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz000635/gp/notice/nos1225544926,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225544926.PDF
2026-09-02T19:46:55+08:00,sh600830,600830,香溢融通,香溢融通：香溢融通股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh600830/gp/notice/nos1225545071,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225545071.PDF
2026-09-02T19:29:14+08:00,sz002514,002514,*ST宝馨,*ST宝馨：关于股价异常波动暨风险提示性公告,up,,,https://gu.qq.com/sz002514/gp/notice/nos1225544863,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225544863.PDF
2026-09-02T19:03:27+08:00,sh600828,600828,茂业商业,茂业商业：茂业商业股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh600828/gp/notice/nos1225544771,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225544771.PDF
2026-09-02T18:57:09+08:00,sz002418,002418,康盛股份,康盛股份：股票交易异常波动公告,up,,,https://gu.qq.com/sz002418/gp/notice/nos1225544682,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225544682.PDF
2026-09-02T18:40:20+08:00,sz003005,003005,竞业达,竞业达：2026-027  股票交易异常波动公告,up,,,https://gu.qq.com/sz003005/gp/notice/nos1225544085,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225544085.PDF
2026-09-02T18:21:24+08:00,sh603207,603207,小方制药,小方制药：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh603207/gp/notice/nos1225544624,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225544624.PDF
2026-09-02T18:18:24+08:00,sz002855,002855,捷荣技术,捷荣技术：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz002855/gp/notice/nos1225544492,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225544492.PDF
2026-09-02T18:18:12+08:00,sh600967,600967,内蒙一机,内蒙一机：内蒙古第一机械集团股份有限公司关于股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sh600967/gp/notice/nos1225544613,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225544613.PDF
2026-09-02T18:16:10+08:00,sz301151,301151,冠龙节能,冠龙节能：关于股票交易异常波动的公告,up,,,https://gu.qq.com/sz301151/gp/notice/nos1225544503,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225544503.PDF
2026-09-02T18:13:16+08:00,sz003040,003040,楚天龙,楚天龙：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz003040/gp/notice/nos1225544477,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225544477.PDF
2026-09-02T18:13:14+08:00,sz002955,002955,鸿合科技,鸿合科技：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz002955/gp/notice/nos1225544481,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225544481.PDF
2026-09-02T18:13:14+08:00,sz002104,002104,恒宝股份,恒宝股份：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz002104/gp/notice/nos1225544493,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225544493.PDF
2026-09-02T17:33:12+08:00,sh603221,603221,爱丽家居,爱丽家居：爱丽家居科技股份有限公司股票交易异常波动暨股票交易风险提示公告,up,20%偏离异动,,https://gu.qq.com/sh603221/gp/notice/nos1225544308,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225544308.PDF
2026-09-02T17:22:04+08:00,sh601086,601086,国芳集团,国芳集团：国芳集团：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh601086/gp/notice/nos1225544164,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225544164.PDF
2026-09-02T17:03:12+08:00,sz002412,002412,汉森制药,汉森制药：关于股票交易异常波动暨风险提示性公告,down,20%偏离异动,1,https://gu.qq.com/sz002412/gp/notice/nos1225543584,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225543584.PDF
2026-09-02T17:03:12+08:00,sz002328,002328,新朋股份,新朋股份：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz002328/gp/notice/nos1225543643,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225543643.PDF
2026-09-02T16:57:51+08:00,sh601566,601566,九牧王,九牧王：九牧王关于股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sh601566/gp/notice/nos1225543752,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225543752.PDF
2026-09-02T16:48:42+08:00,sh605068,605068,明新旭腾,明新旭腾：明新旭腾新材料股份有限公司股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh605068/gp/notice/nos1225543599,https://file.finance.qq.com/finance/hs/pdf/2026/09/03/1225543599.PDF
2026-09-02T00:00:00+08:00,bj920212,920212,智新电子,[临时公告]智新电子:股票交易异常波动公告,unknown,正文解析失败，需人工核验,,https://gu.qq.com/bj920212/gp/notice/nosnob100022684223,
