published_at,symbol,code,name,title,direction,categories,down_occurrence_30d,tencent_url,pdf_url
2026-09-11T19:46:11+08:00,sz002790,002790,瑞尔特,瑞尔特：股票交易异常波动暨风险提示公告,up,20%偏离异动,,https://gu.qq.com/sz002790/gp/notice/nos1225561589,https://file.finance.qq.com/finance/hs/pdf/2026/09/12/1225561589.PDF
2026-09-11T19:46:11+08:00,sz002201,002201,九鼎新材,九鼎新材：关于股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sz002201/gp/notice/nos1225561592,https://file.finance.qq.com/finance/hs/pdf/2026/09/12/1225561592.PDF
2026-09-11T19:23:30+08:00,sh600734,600734,*ST实达,福建实达集团股份有限公司股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh600734/gp/notice/nos600734_20260912_F24H,https://file.finance.qq.com//finance/hs/pdf/2026/09/12/600734_20260912_F24H.pdf
2026-09-11T19:11:12+08:00,sz002514,002514,*ST宝馨,*ST宝馨：关于股价异常波动暨风险提示性公告,up,,,https://gu.qq.com/sz002514/gp/notice/nos1225561327,https://file.finance.qq.com/finance/hs/pdf/2026/09/12/1225561327.PDF
2026-09-11T19:08:11+08:00,sz002856,002856,*ST美芝,*ST美芝：股票交易异常波动暨风险提示性公告,up,20%偏离异动,,https://gu.qq.com/sz002856/gp/notice/nos1225560532,https://file.finance.qq.com/finance/hs/pdf/2026/09/12/1225560532.PDF
2026-09-11T19:04:14+08:00,sz002403,002403,爱仕达,爱仕达：股票交易异常波动公告,down,20%偏离异动,1,https://gu.qq.com/sz002403/gp/notice/nos1225560234,https://file.finance.qq.com/finance/hs/pdf/2026/09/12/1225560234.PDF
2026-09-11T19:00:11+08:00,sz301176,301176,逸豪新材,逸豪新材：股票交易异常波动公告,up,,,https://gu.qq.com/sz301176/gp/notice/nos1225561270,https://file.finance.qq.com/finance/hs/pdf/2026/09/11/1225561270.PDF
2026-09-11T18:58:19+08:00,sz002912,002912,中新赛克,中新赛克：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz002912/gp/notice/nos1225561183,https://file.finance.qq.com/finance/hs/pdf/2026/09/12/1225561183.PDF
2026-09-11T18:33:05+08:00,sh600876,600876,凯盛新能,凯盛新能：凯盛新能股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh600876/gp/notice/nos1225561102,https://file.finance.qq.com/finance/hs/pdf/2026/09/12/1225561102.PDF
2026-09-11T18:15:01+08:00,sh603936,603936,博敏电子,博敏电子：博敏电子股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh603936/gp/notice/nos1225560785,https://file.finance.qq.com/finance/hs/pdf/2026/09/12/1225560785.PDF
2026-09-11T17:41:17+08:00,sh600479,600479,千金药业,千金药业：千金药业关于股票交易异常波动的公告,down,20%偏离异动,1,https://gu.qq.com/sh600479/gp/notice/nos1225560378,https://file.finance.qq.com/finance/hs/pdf/2026/09/12/1225560378.PDF
2026-09-11T17:33:33+08:00,sh605006,605006,山东玻纤,山东玻纤：关于对山东玻纤集团股份有限公司股票交易异常波动问询函的回复,unknown,,,https://gu.qq.com/sh605006/gp/notice/nos1225560226,https://file.finance.qq.com/finance/hs/pdf/2026/09/12/1225560226.PDF
2026-09-11T17:33:33+08:00,sh605006,605006,山东玻纤,山东玻纤：山东玻纤集团股份有限公司关于股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sh605006/gp/notice/nos1225560227,https://file.finance.qq.com/finance/hs/pdf/2026/09/12/1225560227.PDF
2026-09-11T17:23:23+08:00,sh603601,603601,再升科技,再升科技：再升科技股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh603601/gp/notice/nos1225560087,https://file.finance.qq.com/finance/hs/pdf/2026/09/12/1225560087.PDF
2026-09-11T00:00:00+08:00,bj920268,920268,百迈科,[临时公告]百迈科:股票交易异常波动公告,unknown,正文解析失败，需人工核验,,https://gu.qq.com/bj920268/gp/notice/nosnob100022916539,
