published_at,symbol,code,name,title,direction,categories,down_occurrence_30d,tencent_url,pdf_url
2026-08-30T15:33:54+08:00,sz002731,002731,*ST萃华,*ST萃华：关于公司股票交易严重异常波动的公告,down,近30自然日第3次下跌异动,3,https://gu.qq.com/sz002731/gp/notice/nos1225532764,https://file.finance.qq.com/finance/hs/pdf/2026/08/31/1225532764.PDF
2026-08-30T15:33:53+08:00,sz002072,002072,凯瑞德,凯瑞德：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz002072/gp/notice/nos1225531931,https://file.finance.qq.com/finance/hs/pdf/2026/08/31/1225531931.PDF
2026-08-30T15:33:53+08:00,sz000017,000017,深中华A,深中华A：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz000017/gp/notice/nos1225532235,https://file.finance.qq.com/finance/hs/pdf/2026/08/31/1225532235.PDF
2026-08-30T15:33:51+08:00,sz000712,000712,锦龙股份,锦龙股份：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz000712/gp/notice/nos1225531439,https://file.finance.qq.com/finance/hs/pdf/2026/08/31/1225531439.PDF
