published_at,symbol,code,name,title,direction,categories,down_occurrence_30d,tencent_url,pdf_url
2026-09-01T20:23:06+08:00,sz002165,002165,红 宝 丽,红 宝 丽：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz002165/gp/notice/nos1225542642,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225542642.PDF
2026-09-01T20:05:47+08:00,sh605577,605577,龙版传媒,龙版传媒：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh605577/gp/notice/nos1225542638,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225542638.PDF
2026-09-01T19:43:28+08:00,sz002909,002909,集泰股份,集泰股份：关于股票交易异常波动的公告,up,,,https://gu.qq.com/sz002909/gp/notice/nos1225542543,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225542543.PDF
2026-09-01T19:23:26+08:00,sz002084,002084,海鸥住工,海鸥住工：股票交易异常波动暨风险提示公告,up,20%偏离异动,,https://gu.qq.com/sz002084/gp/notice/nos1225542472,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225542472.PDF
2026-09-01T19:14:11+08:00,sz001330,001330,博纳影业,博纳影业：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz001330/gp/notice/nos1225542430,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225542430.PDF
2026-09-01T19:04:10+08:00,sz300550,300550,和仁科技,和仁科技：股票交易价格异常波动公告,up,,,https://gu.qq.com/sz300550/gp/notice/nos1225542187,https://file.finance.qq.com/finance/hs/pdf/2026/09/01/1225542187.PDF
2026-09-01T18:49:47+08:00,sz300413,300413,芒果超媒,芒果超媒：股票交易异常波动公告,up,,,https://gu.qq.com/sz300413/gp/notice/nos1225542186,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225542186.PDF
2026-09-01T18:44:10+08:00,sz300911,300911,亿田智能,亿田智能：关于公司股票交易异常波动的公告,up,,,https://gu.qq.com/sz300911/gp/notice/nos1225542188,https://file.finance.qq.com/finance/hs/pdf/2026/09/01/1225542188.PDF
2026-09-01T18:43:04+08:00,sh600354,600354,敦煌种业,敦煌种业：甘肃省敦煌种业集团股份有限公司股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh600354/gp/notice/nos1225542336,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225542336.PDF
2026-09-01T18:26:53+08:00,sz000892,000892,欢瑞世纪,欢瑞世纪：股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sz000892/gp/notice/nos1225541956,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225541956.PDF
2026-09-01T18:09:36+08:00,sh600540,600540,新赛股份,新赛股份：新疆赛里木现代农业股份有限公司关于股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh600540/gp/notice/nos1225541898,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225541898.PDF
2026-09-01T18:01:36+08:00,sh600721,600721,百花医药,百花医药：新疆百花村医药集团股份有限公司股票交易异常波动公告,down,20%偏离异动,1,https://gu.qq.com/sh600721/gp/notice/nos1225541860,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225541860.PDF
2026-09-01T17:47:36+08:00,sh605188,605188,国光连锁,国光连锁：江西国光商业连锁股份有限公司股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh605188/gp/notice/nos1225541702,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225541702.PDF
2026-09-01T17:21:36+08:00,sh600127,600127,金健米业,金健米业：金健米业关于股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sh600127/gp/notice/nos1225541354,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225541354.PDF
2026-09-01T17:20:34+08:00,sh600892,600892,大晟文化,大晟文化：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh600892/gp/notice/nos1225541349,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225541349.PDF
2026-09-01T16:55:31+08:00,sh603533,603533,掌阅科技,掌阅科技：掌阅科技股份有限公司股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh603533/gp/notice/nos1225540741,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225540741.PDF
2026-09-01T16:45:17+08:00,sh603721,603721,中广天择,中广天择：中广天择传媒股份有限公司股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh603721/gp/notice/nos1225540585,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225540585.PDF
2026-09-01T16:38:00+08:00,sh600121,600121,郑州煤电,郑州煤电：郑州煤电股份有限公司股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh600121/gp/notice/nos1225540536,https://file.finance.qq.com/finance/hs/pdf/2026/09/02/1225540536.PDF
