published_at,symbol,code,name,title,direction,categories,down_occurrence_30d,tencent_url,pdf_url
2026-09-16T20:41:35+08:00,sz001216,001216,华瓷股份,华瓷股份：关于股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sz001216/gp/notice/nos1225568995,https://file.finance.qq.com/finance/hs/pdf/2026/09/17/1225568995.PDF
2026-09-16T20:40:15+08:00,sz000993,000993,闽东电力,闽东电力：关于股票交易异常波动暨风险提示的公告,up,20%偏离异动,,https://gu.qq.com/sz000993/gp/notice/nos1225568989,https://file.finance.qq.com/finance/hs/pdf/2026/09/17/1225568989.PDF
2026-09-16T20:23:35+08:00,sz002846,002846,英联股份,英联股份：关于公司股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz002846/gp/notice/nos1225568959,https://file.finance.qq.com/finance/hs/pdf/2026/09/17/1225568959.PDF
2026-09-16T20:08:23+08:00,sz003026,003026,中晶科技,中晶科技：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz003026/gp/notice/nos1225568904,https://file.finance.qq.com/finance/hs/pdf/2026/09/17/1225568904.PDF
2026-09-16T19:57:09+08:00,sz301373,301373,凌玮科技,凌玮科技：关于股票交易异常波动的公告,up,,,https://gu.qq.com/sz301373/gp/notice/nos1225568891,https://file.finance.qq.com/finance/hs/pdf/2026/09/16/1225568891.PDF
2026-09-16T19:13:38+08:00,sh601579,601579,会稽山,会稽山：会稽山绍兴酒股份有限公司股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh601579/gp/notice/nos1225568803,https://file.finance.qq.com/finance/hs/pdf/2026/09/17/1225568803.PDF
2026-09-16T18:32:06+08:00,sh600712,600712,南宁百货,南宁百货：南宁百货大楼股份有限公司股票交易异常波动公告,down,20%偏离异动,1,https://gu.qq.com/sh600712/gp/notice/nos1225568561,https://file.finance.qq.com/finance/hs/pdf/2026/09/17/1225568561.PDF
2026-09-16T18:32:02+08:00,sh600712,600712,南宁百货,南宁百货：南宁产业投资集团有限责任公司关于南宁百货股票交易异常波动的复函,unknown,,,https://gu.qq.com/sh600712/gp/notice/nos1225568560,https://file.finance.qq.com/finance/hs/pdf/2026/09/17/1225568560.PDF
2026-09-16T18:30:10+08:00,sz002790,002790,瑞尔特,瑞尔特：股票交易异常波动公告,down,20%偏离异动,1,https://gu.qq.com/sz002790/gp/notice/nos1225568377,https://file.finance.qq.com/finance/hs/pdf/2026/09/17/1225568377.PDF
2026-09-16T18:14:04+08:00,sh603082,603082,北自科技,北自科技：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh603082/gp/notice/nos1225568395,https://file.finance.qq.com/finance/hs/pdf/2026/09/17/1225568395.PDF
2026-09-16T18:09:06+08:00,sz002584,002584,西陇科学,西陇科学：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz002584/gp/notice/nos1225568197,https://file.finance.qq.com/finance/hs/pdf/2026/09/17/1225568197.PDF
2026-09-16T18:09:06+08:00,sz000823,000823,超声电子,超声电子：超声电子股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz000823/gp/notice/nos1225568199,https://file.finance.qq.com/finance/hs/pdf/2026/09/17/1225568199.PDF
2026-09-16T18:06:10+08:00,sz301251,301251,威尔高,威尔高：关于公司股票交易异常波动的公告,up,,,https://gu.qq.com/sz301251/gp/notice/nos1225568190,https://file.finance.qq.com/finance/hs/pdf/2026/09/16/1225568190.PDF
2026-09-16T17:03:33+08:00,sh603248,603248,锡华科技,锡华科技：江苏锡华新能源科技股份有限公司关于股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sh603248/gp/notice/nos1225567739,https://file.finance.qq.com/finance/hs/pdf/2026/09/17/1225567739.PDF
2026-09-16T17:02:27+08:00,sz002631,002631,德尔未来,德尔未来：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz002631/gp/notice/nos1225567454,https://file.finance.qq.com/finance/hs/pdf/2026/09/17/1225567454.PDF
2026-09-16T16:56:45+08:00,sh603657,603657,春光科技,春光科技：春光科技股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh603657/gp/notice/nos1225567643,https://file.finance.qq.com/finance/hs/pdf/2026/09/17/1225567643.PDF
2026-09-16T16:50:50+08:00,sh605577,605577,龙版传媒,关于股票交易异常波动公告,down,20%偏离异动,1,https://gu.qq.com/sh605577/gp/notice/nos605577_20260917_Z6FQ,https://file.finance.qq.com//finance/hs/pdf/2026/09/17/605577_20260917_Z6FQ.pdf
2026-09-16T16:41:22+08:00,sh600359,600359,新农开发,新农开发：新疆塔里木农业综合开发股份有限公司股票交易异常波动公告,down,20%偏离异动,1,https://gu.qq.com/sh600359/gp/notice/nos1225567559,https://file.finance.qq.com/finance/hs/pdf/2026/09/17/1225567559.PDF
2026-09-16T16:33:15+08:00,sz002491,002491,通鼎互联,通鼎互联：股票交易异常波动公告,down,20%偏离异动,1,https://gu.qq.com/sz002491/gp/notice/nos1225567352,https://file.finance.qq.com/finance/hs/pdf/2026/09/17/1225567352.PDF
