published_at,symbol,code,name,title,direction,categories,down_occurrence_30d,tencent_url,pdf_url
2026-08-27T20:28:14+08:00,sz002947,002947,恒铭达,恒铭达：股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sz002947/gp/notice/nos1225522904,https://file.finance.qq.com/finance/hs/pdf/2026/08/28/1225522904.PDF
2026-08-27T20:12:11+08:00,sz300010,300010,ST豆神,ST豆神：股票交易异常波动公告,up,,,https://gu.qq.com/sz300010/gp/notice/nos1225522425,https://file.finance.qq.com/finance/hs/pdf/2026/08/28/1225522425.PDF
2026-08-27T18:58:11+08:00,sz301591,301591,肯特股份,肯特股份：关于公司股票交易异常波动的公告,up,,,https://gu.qq.com/sz301591/gp/notice/nos1225521514,https://file.finance.qq.com/finance/hs/pdf/2026/08/27/1225521514.PDF
2026-08-27T18:52:00+08:00,sh600127,600127,金健米业,金健米业：金健米业关于股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sh600127/gp/notice/nos1225521699,https://file.finance.qq.com/finance/hs/pdf/2026/08/28/1225521699.PDF
2026-08-27T18:31:22+08:00,sz002731,002731,*ST萃华,*ST萃华：股票交易异常波动公告,down,20%偏离异动|近30自然日第2次下跌异动,2,https://gu.qq.com/sz002731/gp/notice/nos1225519188,https://file.finance.qq.com/finance/hs/pdf/2026/08/28/1225519188.PDF
2026-08-27T18:19:40+08:00,sh600969,600969,郴电国际,郴电国际：郴电国际股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh600969/gp/notice/nos1225520812,https://file.finance.qq.com/finance/hs/pdf/2026/08/28/1225520812.PDF
2026-08-27T18:13:35+08:00,sh600479,600479,千金药业,千金药业：控股股东及实际控制人关于千金药业股票交易异常波动的征询函的回函,unknown,,,https://gu.qq.com/sh600479/gp/notice/nos1225520653,https://file.finance.qq.com/finance/hs/pdf/2026/08/28/1225520653.PDF
2026-08-27T18:13:35+08:00,sh600479,600479,千金药业,千金药业：千金药业关于股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sh600479/gp/notice/nos1225520642,https://file.finance.qq.com/finance/hs/pdf/2026/08/28/1225520642.PDF
2026-08-27T17:20:14+08:00,sz000890,000890,法尔胜,法尔胜：股票交易异常波动公告,up,,,https://gu.qq.com/sz000890/gp/notice/nos1225518403,https://file.finance.qq.com/finance/hs/pdf/2026/08/28/1225518403.PDF
2026-08-27T17:18:20+08:00,sz002412,002412,汉森制药,汉森制药：关于股票交易异常波动暨风险提示性公告,up,20%偏离异动,,https://gu.qq.com/sz002412/gp/notice/nos1225517899,https://file.finance.qq.com/finance/hs/pdf/2026/08/28/1225517899.PDF
2026-08-27T16:58:34+08:00,sh603618,603618,杭电股份,杭电股份：杭电股份：关于股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh603618/gp/notice/nos1225518176,https://file.finance.qq.com/finance/hs/pdf/2026/08/28/1225518176.PDF
2026-08-26T20:14:15+08:00,sz000428,000428,华天酒店,华天酒店：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz000428/gp/notice/nos1225514716,https://file.finance.qq.com/finance/hs/pdf/2026/08/27/1225514716.PDF
