published_at,symbol,code,name,title,direction,categories,down_occurrence_30d,tencent_url,pdf_url
2026-08-26T20:14:15+08:00,sz000428,000428,华天酒店,华天酒店：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz000428/gp/notice/nos1225514716,https://file.finance.qq.com/finance/hs/pdf/2026/08/27/1225514716.PDF
2026-08-26T19:46:13+08:00,sz001268,001268,联合精密,联合精密：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz001268/gp/notice/nos1225514456,https://file.finance.qq.com/finance/hs/pdf/2026/08/27/1225514456.PDF
2026-08-26T19:18:20+08:00,sz002963,002963,豪尔赛,豪尔赛：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz002963/gp/notice/nos1225513783,https://file.finance.qq.com/finance/hs/pdf/2026/08/27/1225513783.PDF
2026-08-26T19:06:08+08:00,sz002094,002094,青岛金王,青岛金王：股票交易异常波动公告,up,,,https://gu.qq.com/sz002094/gp/notice/nos1225513514,https://file.finance.qq.com/finance/hs/pdf/2026/08/27/1225513514.PDF
2026-08-26T18:34:22+08:00,sz002418,002418,康盛股份,康盛股份：股票交易异常波动公告,up,,,https://gu.qq.com/sz002418/gp/notice/nos1225512687,https://file.finance.qq.com/finance/hs/pdf/2026/08/27/1225512687.PDF
2026-08-26T18:09:15+08:00,sz003040,003040,楚天龙,楚天龙：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz003040/gp/notice/nos1225511761,https://file.finance.qq.com/finance/hs/pdf/2026/08/27/1225511761.PDF
2026-08-26T18:09:14+08:00,sz002949,002949,华阳国际,华阳国际：关于股票交易异常波动的公告,up,,,https://gu.qq.com/sz002949/gp/notice/nos1225511787,https://file.finance.qq.com/finance/hs/pdf/2026/08/27/1225511787.PDF
2026-08-26T18:01:36+08:00,sz002855,002855,捷荣技术,捷荣技术：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz002855/gp/notice/nos1225511567,https://file.finance.qq.com/finance/hs/pdf/2026/08/27/1225511567.PDF
2026-08-26T17:58:23+08:00,sh600371,600371,万向德农,万向德农：万向德农股份有限公司股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh600371/gp/notice/nos1225512132,https://file.finance.qq.com/finance/hs/pdf/2026/08/27/1225512132.PDF
2026-08-26T17:56:16+08:00,sh600272,600272,开开实业,开开实业：关于上海开开实业股份有限公司股票交易异常波动的问询函的回函,unknown,,,https://gu.qq.com/sh600272/gp/notice/nos1225511981,https://file.finance.qq.com/finance/hs/pdf/2026/08/27/1225511981.PDF
2026-08-26T17:56:16+08:00,sh600272,600272,开开实业,开开实业：股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sh600272/gp/notice/nos1225511970,https://file.finance.qq.com/finance/hs/pdf/2026/08/27/1225511970.PDF
2026-08-26T17:49:59+08:00,sh600103,600103,青山纸业,青山纸业：关于股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sh600103/gp/notice/nos1225511834,https://file.finance.qq.com/finance/hs/pdf/2026/08/27/1225511834.PDF
2026-08-26T17:30:09+08:00,sz002015,002015,协鑫能科,协鑫能科：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz002015/gp/notice/nos1225510650,https://file.finance.qq.com/finance/hs/pdf/2026/08/27/1225510650.PDF
2026-08-26T17:15:19+08:00,sz002742,002742,冀衡医药,冀衡医药：股票交易异常波动公告,up,,,https://gu.qq.com/sz002742/gp/notice/nos1225510090,https://file.finance.qq.com/finance/hs/pdf/2026/08/27/1225510090.PDF
