published_at,symbol,code,name,title,direction,categories,down_occurrence_30d,tencent_url,pdf_url
2026-08-23T15:34:52+08:00,sz000017,000017,深中华A,深中华A：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz000017/gp/notice/nos1225492285,https://file.finance.qq.com/finance/hs/pdf/2026/08/24/1225492285.PDF
2026-08-23T15:34:49+08:00,sz000931,000931,中 关 村,中 关 村：关于公司股票交易异常波动的公告,up,,,https://gu.qq.com/sz000931/gp/notice/nos1225492368,https://file.finance.qq.com/finance/hs/pdf/2026/08/24/1225492368.PDF
2026-08-23T15:33:40+08:00,sz002731,002731,*ST萃华,*ST萃华：股票交易异常波动公告,down,20%偏离异动,1,https://gu.qq.com/sz002731/gp/notice/nos1225489682,https://file.finance.qq.com/finance/hs/pdf/2026/08/24/1225489682.PDF
