published_at,symbol,code,name,title,direction,categories,down_occurrence_30d,tencent_url,pdf_url
2026-09-10T19:12:09+08:00,sz002084,002084,海鸥住工,海鸥住工：股票交易异常波动公告,down,20%偏离异动,1,https://gu.qq.com/sz002084/gp/notice/nos1225558573,https://file.finance.qq.com/finance/hs/pdf/2026/09/11/1225558573.PDF
2026-09-10T19:12:09+08:00,sz000565,000565,渝三峡Ａ,渝三峡Ａ：公告2026-045：股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sz000565/gp/notice/nos1225558508,https://file.finance.qq.com/finance/hs/pdf/2026/09/11/1225558508.PDF
2026-09-10T19:04:05+08:00,sh600354,600354,敦煌种业,敦煌种业：甘肃省敦煌种业集团股份有限公司股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh600354/gp/notice/nos1225558608,https://file.finance.qq.com/finance/hs/pdf/2026/09/11/1225558608.PDF
2026-09-10T18:58:09+08:00,sz002855,002855,捷荣技术,捷荣技术：股票交易异常波动公告,down,20%偏离异动,1,https://gu.qq.com/sz002855/gp/notice/nos1225558472,https://file.finance.qq.com/finance/hs/pdf/2026/09/11/1225558472.PDF
2026-09-10T18:56:07+08:00,sz000978,000978,桂林旅游,桂林旅游：股票交易异常波动公告,down,20%偏离异动,1,https://gu.qq.com/sz000978/gp/notice/nos1225558463,https://file.finance.qq.com/finance/hs/pdf/2026/09/11/1225558463.PDF
2026-09-10T18:52:09+08:00,sz300290,300290,ST荣科,ST荣科：关于公司股票交易异常波动的公告,up,,,https://gu.qq.com/sz300290/gp/notice/nos1225558385,https://file.finance.qq.com/finance/hs/pdf/2026/09/10/1225558385.PDF
2026-09-10T18:23:16+08:00,sz002377,002377,国创高新,国创高新：股票交易异常波动公告,up,,,https://gu.qq.com/sz002377/gp/notice/nos1225558216,https://file.finance.qq.com/finance/hs/pdf/2026/09/11/1225558216.PDF
2026-09-10T18:00:45+08:00,sh603958,603958,哈森股份,哈森股份：股票交易异常波动公告,down,20%偏离异动,1,https://gu.qq.com/sh603958/gp/notice/nos1225558202,https://file.finance.qq.com/finance/hs/pdf/2026/09/11/1225558202.PDF
2026-09-10T17:59:37+08:00,sh603421,603421,鼎信通讯,鼎信通讯：鼎信通讯关于股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sh603421/gp/notice/nos1225558210,https://file.finance.qq.com/finance/hs/pdf/2026/09/11/1225558210.PDF
2026-09-10T17:52:34+08:00,sh600359,600359,新农开发,新农开发：2026-037新疆塔里木农业综合开发股份有限公司股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh600359/gp/notice/nos1225558111,https://file.finance.qq.com/finance/hs/pdf/2026/09/11/1225558111.PDF
2026-09-10T17:52:34+08:00,sh600359,600359,新农开发,新疆生产建设兵团第一师国有资产监督管理委员会关于对《新疆塔里木农业综合开发股份有限公司股票交易异常波动问询函》的回函,unknown,正文解析失败，需人工核验,,https://gu.qq.com/sh600359/gp/notice/nos600359_20260911_T5PS,
2026-09-10T17:52:33+08:00,sh600359,600359,新农开发,新农开发：新疆塔里木农垦集团有限公司关于对《新疆塔里木农业综合开发股份有限公司关于股票交易异常波动的问询函》的回复,unknown,,,https://gu.qq.com/sh600359/gp/notice/nos1225558121,https://file.finance.qq.com/finance/hs/pdf/2026/09/11/1225558121.PDF
2026-09-10T17:42:11+08:00,sz000993,000993,闽东电力,闽东电力：关于股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sz000993/gp/notice/nos1225557823,https://file.finance.qq.com/finance/hs/pdf/2026/09/11/1225557823.PDF
2026-09-10T16:41:13+08:00,sh605398,605398,新炬网络,新炬网络：上海新炬网络信息技术股份有限公司股票交易异常波动公告,down,20%偏离异动,1,https://gu.qq.com/sh605398/gp/notice/nos1225557274,https://file.finance.qq.com/finance/hs/pdf/2026/09/11/1225557274.PDF
2026-09-10T16:21:10+08:00,sh600192,600192,长城电工,长城电工股票交易异常波动公告,up,20%偏离异动,,https://gu.qq.com/sh600192/gp/notice/nos600192_20260911_QLX6,https://file.finance.qq.com//finance/hs/pdf/2026/09/11/600192_20260911_QLX6.pdf
2026-09-10T16:21:07+08:00,sh605177,605177,东亚药业,东亚药业关于股票交易异常波动的公告,up,20%偏离异动,,https://gu.qq.com/sh605177/gp/notice/nos605177_20260911_NYHF,https://file.finance.qq.com//finance/hs/pdf/2026/09/11/605177_20260911_NYHF.pdf
